id,event_id,latitude,longitude,type,area,date_time,state,fuel_1hr,fuel_10hr,fuel_100hr,fuel_1khr,fuel_10khr,fuel_gt10khr,shrub,grass,rot,duff,litter,canopy,fccs_number
SF11C27910520013184280,SF11E117358,42.813,-122.953,WF,183.9999995,201508220000Z,OR,1,2,4,2,3,6,3.29,0.13,8,4,0.03,20.96,2
SF11C28236720013184050,SF11E117358,42.8,-122.93,WF,45.99999989,201508230000Z,OR,1,2,4,2,3,6,3.29,0.13,8,4,0.03,20.96,2
SF11C28600720013183820,SF11E117358,42.796,-122.956,WF,45.99999989,201508240000Z,OR,1,2,4,2,3,6,3.29,0.13,8,4,0.03,20.96,2
SF11C21353920013189110,SF11E118867,41.768,-123.97,WF,45.99999989,201508010000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C21899720013188420,SF11E118867,41.77,-123.957,WF,45.99999989,201508040000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C22392720013187960,SF11E121920,41.592,-123.817,WF,45.99999989,201508060000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C22661120013187730,SF11E118867,41.764,-123.958,WF,551.9999986,201508070000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C22868620013187500,SF11E121920,41.584,-123.746,WF,45.99999989,201508080000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C22869220013187500,SF11E121920,41.601,-123.82,WF,45.99999989,201508080000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C23044120013187270,SF11E118867,41.769,-123.964,WF,137.9999997,201508090000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C23285820013187040,SF11E121920,41.591,-123.762,WF,45.99999989,201508100000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C23286720013187040,SF11E121920,41.584,-123.801,WF,45.99999989,201508100000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C25219420013185890,SF11E121920,41.592,-123.817,WF,45.99999989,201508150000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C26709120013184970,SF11E121920,41.558,-123.724,WF,45.99999989,201508190000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C26712020013184970,SF11E131784,41.772,-123.944,WF,45.99999989,201508190000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C27562820013184510,SF11E133655,41.499,-123.739,WF,91.99999977,201508210000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C27563320013184510,SF11E133655,41.427,-123.75,WF,183.9999995,201508210000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C27564220013184510,SF11E131784,41.771,-123.94,WF,1885.999995,201508210000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C27912820013184280,SF11E121920,41.584,-123.809,WF,3219.999992,201508220000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C27914220013184280,SF11E131784,41.77,-123.957,WF,45.99999989,201508220000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C28238520013184050,SF11E121920,41.577,-123.73,WF,45.99999989,201508230000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C28239320013184050,SF11E121920,41.595,-123.815,WF,321.9999992,201508230000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C28581920013183820,SF11E121920,41.581,-123.753,WF,551.9999986,201508240000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C28582120013183820,SF11E121920,41.588,-123.836,WF,183.9999995,201508240000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C29033820013183590,SF11E121920,41.598,-123.811,WF,643.9999984,201508250000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C29045120013183590,SF11E121920,41.558,-123.724,WF,45.99999989,201508250000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C29055920013183590,SF11E133655,41.426,-123.776,WF,45.99999989,201508250000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C29699020013183360,SF11E121920,41.558,-123.724,WF,45.99999989,201508260000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C29699220013183360,SF11E121920,41.589,-123.803,WF,367.9999991,201508260000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C29699320013183360,SF11E133655,41.429,-123.759,WF,275.9999993,201508260000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C30288420013183130,SF11E121920,41.572,-123.728,WF,137.9999997,201508270000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C30289320013183130,SF11E121920,41.588,-123.805,WF,229.9999994,201508270000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C30289620013183130,SF11E133655,41.418,-123.768,WF,275.9999993,201508270000Z,CA,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C21487520013188880,SF11E118090,48.682,-113.58,WF,45.99999989,201508020000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C23609320013186810,SF11E127061,47.937,-114.292,WF,45.99999989,201508110000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C25189220013185890,SF11E150867,47.939,-113.413,WF,91.99999977,201508150000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C25189920013185890,SF11E131331,47.399,-114.42,WF,1349.999997,201508150000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C25513120013185660,SF11E131331,47.385,-114.431,WF,149.9999996,201508160000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C27532620013184510,SF11E150867,48.034,-113.414,WF,91.99999977,201508210000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C27533220013184510,SF11E150867,47.834,-113.456,WF,321.9999992,201508210000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C29040120013183590,SF11E150867,47.744,-113.412,WF,45.99999989,201508250000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C29673720013183360,SF11E150867,47.94,-113.349,WF,137.9999997,201508260000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C30247420013183130,SF11E150867,47.842,-113.442,WF,45.99999989,201508270000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C31092220013182670,SF11E150867,47.736,-113.41,WF,229.9999994,201508290000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C31092520013182670,SF11E150867,47.769,-113.423,WF,91.99999977,201508290000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C31092820013182670,SF11E150867,47.835,-113.459,WF,275.9999993,201508290000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C31396720013182440,SF11E148503,48.176,-112.958,WF,45.99999989,201508300000Z,MT,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C22865920013187500,SF11E124041,42.104,-123.67,WF,139.9999997,201508080000Z,OR,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C22866120013187500,SF11E124041,42.094,-123.694,WF,45.99999989,201508080000Z,OR,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C25546820013185660,SF11E123174,42.345,-124.163,WF,45.99999989,201508160000Z,OR,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C25787620013185430,SF11E131596,44.323,-118.87,WF,45.99999989,201508170000Z,OR,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C26129620013185200,SF11E123174,42.345,-124.163,WF,45.99999989,201508180000Z,OR,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C26692620013184970,SF11E131596,44.323,-118.87,WF,45.99999989,201508190000Z,OR,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C27564720013184510,SF11E123174,42.345,-124.163,WF,551.9999986,201508210000Z,OR,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C28588420013183820,SF11E131596,44.309,-118.807,WF,413.999999,201508240000Z,OR,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C29706420013183360,SF11E131596,44.324,-118.863,WF,91.99999977,201508260000Z,OR,0.2,0.3,3.8,0,0,0,2.96,0.54,23.5,2.5,0.06,3.75,4
SF11C24796320013186120,SF11E122242,40.369,-123.318,WF,45.99999989,201508140000Z,CA,0.5,1.6,3.3,4.3,8.9,3.4,3.26,0.11,3,2.1,0.11,20.94,5
SF11C21495520013188880,SF11E136617,40.47,-123.145,WF,489.9999988,201508020000Z,CA,0.1,0.4,0.8,2.6,2.2,0,1.1,0.51,1.7,1.3,0.19,12.23,6
SF11C23621020013186810,SF11E136617,40.475,-123.165,WF,349.9999991,201508110000Z,CA,0.1,0.4,0.8,2.6,2.2,0,1.1,0.51,1.7,1.3,0.19,12.23,6
SF11C21350320013189110,SF11E123176,40.625,-123.087,WF,2379.999994,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21350620013189110,SF11E136617,40.396,-123.183,WF,1471.999996,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21350920013189110,SF11E133988,40.97,-123.446,WF,3587.999991,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21351520013189110,SF11E133988,41.011,-123.481,WF,137.9999997,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21351720013189110,SF11E133988,40.947,-123.494,WF,551.9999986,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21351820013189110,SF11E134020,40.727,-123.458,WF,1539.999996,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21352020013189110,SF11E122242,40.351,-123.365,WF,2161.999995,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21352920013189110,SF11E122242,40.398,-123.434,WF,45.99999989,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21353620013189110,SF11E122242,40.34,-123.476,WF,689.9999983,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21353720013189110,SF11E122242,40.446,-123.544,WF,629.9999984,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21353820013189110,SF11E134020,40.671,-123.614,WF,505.9999987,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21354420013189110,SF11E122242,40.279,-123.546,WF,183.9999995,201508010000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21494920013188880,SF11E136617,40.455,-123.012,WF,45.99999989,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21495120013188880,SF11E136617,40.426,-123.021,WF,183.9999995,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21496620013188880,SF11E133988,40.955,-123.443,WF,3081.999992,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21496720013188880,SF11E134020,40.683,-123.323,WF,45.99999989,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21496820013188880,SF11E134020,40.675,-123.341,WF,91.99999977,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21497120013188880,SF11E133988,41.011,-123.481,WF,551.9999986,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21497320013188880,SF11E134020,40.737,-123.421,WF,69.99999983,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21497420013188880,SF11E134020,40.754,-123.439,WF,69.99999983,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21497620013188880,SF11E134020,40.732,-123.446,WF,139.9999997,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21497720013188880,SF11E122242,40.346,-123.366,WF,873.9999978,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21498820013188880,SF11E134020,40.564,-123.55,WF,489.9999988,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21499520013188880,SF11E122242,40.358,-123.541,WF,45.99999989,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21499720013188880,SF11E122242,40.325,-123.555,WF,781.9999981,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21499820013188880,SF11E122242,40.277,-123.542,WF,45.99999989,201508020000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21706920013188650,SF11E136617,40.445,-123.009,WF,45.99999989,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21707220013188650,SF11E123176,40.634,-123.089,WF,137.9999997,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21708520013188650,SF11E136617,40.381,-123.196,WF,91.99999977,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21708620013188650,SF11E133988,40.942,-123.45,WF,6509.999984,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21708820013188650,SF11E134020,40.671,-123.333,WF,137.9999997,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21708920013188650,SF11E133988,41.006,-123.452,WF,321.9999992,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21709320013188650,SF11E133988,41.011,-123.481,WF,321.9999992,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21709520013188650,SF11E134020,40.7,-123.396,WF,69.99999983,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21709620013188650,SF11E134020,40.727,-123.418,WF,69.99999983,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21709820013188650,SF11E133988,40.948,-123.488,WF,367.9999991,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21710120013188650,SF11E122242,40.33,-123.359,WF,551.9999986,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21710220013188650,SF11E122242,40.347,-123.325,WF,45.99999989,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21710520013188650,SF11E122242,40.352,-123.353,WF,45.99999989,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21710820013188650,SF11E122242,40.369,-123.372,WF,45.99999989,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21711620013188650,SF11E122242,40.312,-123.407,WF,45.99999989,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21712020013188650,SF11E122242,40.348,-123.44,WF,321.9999992,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21712420013188650,SF11E134020,40.591,-123.553,WF,1701.999996,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21712520013188650,SF11E122242,40.351,-123.472,WF,45.99999989,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21712620013188650,SF11E134020,40.653,-123.586,WF,321.9999992,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21712920013188650,SF11E122242,40.341,-123.523,WF,45.99999989,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21713020013188650,SF11E118948,40.221,-123.511,WF,45.99999989,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21713120013188650,SF11E122242,40.347,-123.556,WF,367.9999991,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21713220013188650,SF11E122242,40.274,-123.557,WF,321.9999992,201508030000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21894920013188420,SF11E136617,40.476,-123.006,WF,45.99999989,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21895320013188420,SF11E123176,40.65,-123.113,WF,45.99999989,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21895820013188420,SF11E136617,40.369,-123.206,WF,91.99999977,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21896020013188420,SF11E134020,40.681,-123.336,WF,45.99999989,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21896120013188420,SF11E133988,40.977,-123.45,WF,367.9999991,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21896220013188420,SF11E133988,40.939,-123.452,WF,489.9999988,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21896420013188420,SF11E133988,40.905,-123.467,WF,489.9999988,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21896520013188420,SF11E134020,40.746,-123.424,WF,69.99999983,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21896720013188420,SF11E134020,40.727,-123.444,WF,209.9999995,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21896820013188420,SF11E122242,40.328,-123.345,WF,229.9999994,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21896920013188420,SF11E122242,40.368,-123.378,WF,91.99999977,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21897220013188420,SF11E134020,40.541,-123.47,WF,209.9999995,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21897320013188420,SF11E134020,40.626,-123.56,WF,137.9999997,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
SF11C21897420013188420,SF11E122242,40.379,-123.481,WF,45.99999989,201508040000Z,CA,1,3.2,1.9,0.6,0.7,1.7,0.45,0.02,24.5,2.3,0,19.3,7
